Running SLURM prolog script on pink54.cluster.local
===============================================================================
Job started on Fri Apr 11 16:43:25 BST 2025
Job ID          : 7284146
Job name        : ESC50_Step2_SSL
WorkDir         : /mainfs/scratch/dk2g21/AutoNovel
Command         : /mainfs/scratch/dk2g21/AutoNovel/step2.slurm
Partition       : lyceum
Num hosts       : 1
Num cores       : 8
Num of tasks    : 1
Hosts allocated : pink54
Job Output Follows ...
===============================================================================
Epoch 1: Loss = 1.8582
Epoch 2: Loss = 0.6158
Epoch 3: Loss = 0.4010
Epoch 4: Loss = 0.3067
Epoch 5: Loss = 0.2703
Epoch 6: Loss = 0.2355
Epoch 7: Loss = 0.1926
Epoch 8: Loss = 0.1563
Epoch 9: Loss = 0.1312
Epoch 10: Loss = 0.1285
Epoch 11: Loss = 0.1003
Epoch 12: Loss = 0.1020
Epoch 13: Loss = 0.0778
Epoch 14: Loss = 0.0694
Epoch 15: Loss = 0.0732
Epoch 16: Loss = 0.0476
Epoch 17: Loss = 0.0574
Epoch 18: Loss = 0.0400
Epoch 19: Loss = 0.0418
Epoch 20: Loss = 0.0413
Epoch 21: Loss = 0.0349
Epoch 22: Loss = 0.0311
Epoch 23: Loss = 0.0280
Epoch 24: Loss = 0.0267
Epoch 25: Loss = 0.0140
Epoch 26: Loss = 0.0269
Epoch 27: Loss = 0.0294
Epoch 28: Loss = 0.0156
Epoch 29: Loss = 0.0191
Epoch 30: Loss = 0.0159
Epoch 31: Loss = 0.0042
Epoch 32: Loss = 0.0027
Epoch 33: Loss = 0.0019
Epoch 34: Loss = 0.0009
Epoch 35: Loss = 0.0009
Epoch 36: Loss = 0.0009
Epoch 37: Loss = 0.0010
Epoch 38: Loss = 0.0006
Epoch 39: Loss = 0.0005
Epoch 40: Loss = 0.0007
Epoch 41: Loss = 0.0005
Epoch 42: Loss = 0.0008
Epoch 43: Loss = 0.0005
Epoch 44: Loss = 0.0006
Epoch 45: Loss = 0.0006
Epoch 46: Loss = 0.0004
Epoch 47: Loss = 0.0005
Epoch 48: Loss = 0.0004
Epoch 49: Loss = 0.0004
Epoch 50: Loss = 0.0003
Epoch 51: Loss = 0.0003
Epoch 52: Loss = 0.0003
Epoch 53: Loss = 0.0003
Epoch 54: Loss = 0.0004
Epoch 55: Loss = 0.0003
Epoch 56: Loss = 0.0003
Epoch 57: Loss = 0.0003
Epoch 58: Loss = 0.0003
Epoch 59: Loss = 0.0004
Epoch 60: Loss = 0.0009
Epoch 61: Loss = 0.0004
Epoch 62: Loss = 0.0003
Epoch 63: Loss = 0.0004
Epoch 64: Loss = 0.0004
Epoch 65: Loss = 0.0003
Epoch 66: Loss = 0.0003
Epoch 67: Loss = 0.0003
Epoch 68: Loss = 0.0003
Epoch 69: Loss = 0.0003
Epoch 70: Loss = 0.0003
Epoch 71: Loss = 0.0007
Epoch 72: Loss = 0.0004
Epoch 73: Loss = 0.0005
Epoch 74: Loss = 0.0003
Epoch 75: Loss = 0.0003
Epoch 76: Loss = 0.0003
Epoch 77: Loss = 0.0003
Epoch 78: Loss = 0.0003
Epoch 79: Loss = 0.0003
Epoch 80: Loss = 0.0003
Epoch 81: Loss = 0.0003
Epoch 82: Loss = 0.0003
Epoch 83: Loss = 0.0002
Epoch 84: Loss = 0.0003
Epoch 85: Loss = 0.0003
Epoch 86: Loss = 0.0003
Epoch 87: Loss = 0.0003
Epoch 88: Loss = 0.0003
Epoch 89: Loss = 0.0002
Epoch 90: Loss = 0.0003
Epoch 91: Loss = 0.0003
Epoch 92: Loss = 0.0003
Epoch 93: Loss = 0.0002
Epoch 94: Loss = 0.0003
Epoch 95: Loss = 0.0003
Epoch 96: Loss = 0.0003
Epoch 97: Loss = 0.0003
Epoch 98: Loss = 0.0003
Epoch 99: Loss = 0.0003
Epoch 100: Loss = 0.0002
Model saved.
